[2019-06-08 16:35:35,118]-[WARN]-Message08(97)状态重复次数N1:13
[2019-06-08 16:35:35,119]-[INFO]-Message08(184)highStatus set:3
[2019-06-08 16:35:35,120]-[WARN]-Message08(97)状态重复次数N1:13
[2019-06-08 16:35:35,120]-[INFO]-Message08(184)highStatus set:3
[2019-06-08 16:35:35,120]-[WARN]-Message08(97)状态重复次数N1:13
[2019-06-08 16:35:35,120]-[INFO]-Message08(184)highStatus set:3
[2019-06-08 16:35:35,120]-[WARN]-Message08(97)状态重复次数N1:13
[2019-06-08 16:35:35,121]-[INFO]-Message08(184)highStatus set:3
[2019-06-08 16:35:35,121]-[WARN]-Message08(97)状态重复次数N1:13
[2019-06-08 16:35:35,123]-[INFO]-Message08(184)highStatus set:3
[2019-06-08 16:35:35,124]-[WARN]-Message08(97)状态重复次数N1:13
[2019-06-08 16:35:35,124]-[INFO]-Message08(184)highStatus set:3
[2019-06-08 16:35:35,124]-[WARN]-Message08(97)状态重复次数N1:13
[2019-06-08 16:35:35,125]-[INFO]-Message08(184)highStatus set:3
[2019-06-08 16:35:35,125]-[WARN]-Message08(97)状态重复次数N1:13
[2019-06-08 16:35:35,126]-[INFO]-Message08(184)highStatus set:3
[2019-06-08 16:35:35,126]-[WARN]-Message08(97)状态重复次数N1:15
[2019-06-08 16:35:35,127]-[INFO]-Message08(184)highStatus set:3
[2019-06-08 16:35:35,127]-[WARN]-Message08(97)状态重复次数N1:15
[2019-06-08 16:35:35,128]-[INFO]-Message08(184)highStatus set:3
[2019-06-08 16:35:35,158]-[INFO]-Message08Dao(30)2019-06-08 16:35:35 更新cm_dev_current_status记录数42
[2019-06-08 16:35:35,236]-[INFO]-Message08Dao(88)2019-06-08 16:35:35  cm_dev_his_status增加记录数 644
[2019-06-08 16:35:36,196]-[INFO]-Message08(40)--处理08消息结束--
[2019-06-08 16:35:36,204]-[INFO]-TccInterface(55)handledData:[B@5b29a6d1
[2019-06-08 16:35:36,204]-[INFO]-TccInterface(56)data:[B@1e2b23d0
[2019-06-08 16:35:36,204]-[INFO]-ConstructMessageForTcc(24)--构建08消息开始-- 
[2019-06-08 16:35:36,205]-[INFO]-ConstructMessageForTcc(31)--成功构建08消息--
[2019-06-08 16:35:36,205]-[INFO]-ConstructMessageBase(64)发送消息到IP:172.20.16.30.
[2019-06-08 16:35:36,208]-[INFO]-ComMessageQueueDao(36)准备将消息存入到队列表...
[2019-06-08 16:35:36,294]-[INFO]-ComMessageQueueDao(65)消息存入到队列表结束...
[2019-06-08 16:35:36,297]-[INFO]-ConstructMessageBase(104)成功发送消息到IP:172.20.16.30.
